idFactura;idReserva;idServicio;idProducto;cantidad
1;68827;55;71;41
2;42086;43;69;79
3;182166;37;66;95
4;247573;55;71;69
5;162350;37;66;13
6;10608;46;68;64
7;112216;49;70;78
8;56636;49;70;40
9;26697;46;68;45
10;228260;55;71;12
11;30849;46;68;80
12;100950;49;70;36
13;119462;49;70;91
14;162032;55;71;11
15;99889;46;68;26
16;36906;37;66;50
17;124663;40;67;34
18;231301;37;66;54
19;236910;37;66;22
20;96816;55;71;62
21;91689;55;71;91
22;132473;43;69;88
23;248226;43;69;29
24;25735;49;70;45
25;207454;55;71;65
26;241895;43;69;20
27;50583;46;68;16
28;22061;37;66;50
29;112284;46;68;46
30;8868;55;71;93
31;64247;40;67;22
32;48220;55;71;15
33;38310;40;67;90
34;49923;46;68;45
35;141609;46;68;73
36;85475;46;68;85
37;11639;43;69;75
38;242052;46;68;58
39;1435;40;67;36
40;102608;49;70;18
41;5592;40;67;98
42;79597;37;66;79
43;181963;49;70;49
44;240330;37;66;23
45;141035;43;69;54
46;158764;40;67;63
47;21173;43;69;10
48;208810;49;70;13
49;134237;49;70;36
50;153037;43;69;28
51;216334;43;69;13
52;2332;55;71;40
53;83567;43;69;47
54;51269;40;67;46
55;28956;46;68;60
56;207550;55;71;58
57;29951;46;68;86
58;106541;46;68;67
59;233953;55;71;46
60;145314;55;71;54
61;54410;43;69;68
62;173990;37;66;52
63;75014;46;68;64
64;186267;37;66;49
65;55580;55;71;4
66;107629;46;68;11
67;244438;43;69;89
68;135244;40;67;58
69;197990;43;69;59
70;213059;37;66;42
71;177799;49;70;3
72;140157;37;66;89
73;115798;55;71;92
74;192503;40;67;74
75;59345;37;66;95
76;79291;49;70;81
77;150233;49;70;26
78;200998;43;69;63
79;143867;37;66;8
80;139276;49;70;86
81;127764;49;70;57
82;203531;43;69;45
83;176321;46;68;1
84;79456;55;71;91
85;1953;55;71;22
86;32930;55;71;36
87;154749;40;67;65
88;138174;40;67;78
89;233982;46;68;3
90;103558;40;67;20
91;81339;46;68;83
92;165055;43;69;53
93;80769;37;66;5
94;46859;49;70;4
95;206233;55;71;26
96;57368;55;71;68
97;248413;46;68;100
98;228233;43;69;46
99;216072;46;68;31
100;214634;40;67;88
101;204664;43;69;17
102;136977;46;68;17
103;184753;49;70;55
104;7850;40;67;52
105;15206;49;70;10
106;102074;37;66;21
107;39173;43;69;96
108;144638;55;71;67
109;43942;46;68;59
110;158966;43;69;25
111;92314;49;70;59
112;11232;55;71;99
113;238316;55;71;48
114;125178;40;67;39
115;222073;49;70;80
116;79398;37;66;61
117;731;46;68;64
118;150207;49;70;78
119;167077;37;66;56
120;16274;43;69;92
121;167818;37;66;54
122;119987;40;67;41
123;87260;40;67;96
124;175860;55;71;11
125;31105;55;71;50
126;210393;37;66;19
127;22937;49;70;69
128;54176;46;68;86
129;135777;43;69;36
130;58163;37;66;67
131;16093;43;69;98
132;32718;37;66;22
133;4276;40;67;81
134;131624;40;67;10
135;49483;43;69;2
136;109913;55;71;99
137;187480;46;68;58
138;171602;55;71;96
139;137661;43;69;32
140;191481;49;70;7
141;137541;37;66;19
142;44353;43;69;48
143;122970;55;71;63
144;186279;55;71;10
145;116748;55;71;19
146;38116;49;70;46
147;140374;46;68;29
148;169145;49;70;53
149;72896;37;66;44
150;64534;46;68;36
151;171718;37;66;81
152;23738;55;71;61
153;63733;43;69;36
154;20894;55;71;17
155;167860;40;67;19
156;47794;55;71;78
157;4744;46;68;73
158;32846;37;66;15
159;230942;49;70;17
160;77798;46;68;91
161;223855;40;67;34
162;122731;40;67;8
163;170335;43;69;13
164;128758;46;68;28
165;114549;43;69;1
166;235977;37;66;92
167;74135;40;67;70
168;104007;37;66;79
169;100661;49;70;98
170;246045;55;71;10
171;203335;40;67;58
172;45882;46;68;53
173;115285;43;69;28
174;94870;37;66;47
175;158650;46;68;78
176;90085;43;69;6
177;195280;37;66;50
178;229191;46;68;98
179;91100;43;69;73
180;150435;55;71;98
181;215537;46;68;61
182;204527;40;67;60
183;100832;40;67;33
184;209423;40;67;26
185;158373;55;71;79
186;207421;46;68;86
187;15149;40;67;45
188;188514;40;67;16
189;127824;49;70;42
190;146773;43;69;24
191;26559;55;71;5
192;38718;37;66;3
193;5430;40;67;54
194;97238;40;67;38
195;120774;40;67;76
196;236070;46;68;74
197;40153;55;71;2
198;131726;43;69;13
199;127425;43;69;93
200;225738;40;67;47
201;115951;37;66;8
202;217103;40;67;12
203;173967;49;70;87
204;90235;40;67;64
205;66248;46;68;55
206;157372;43;69;85
207;94864;55;71;27
208;199722;43;69;20
209;227303;40;67;58
210;9773;40;67;20
211;180123;37;66;41
212;221869;49;70;78
213;196152;40;67;2
214;197584;46;68;42
